# Constructed from biom file
#OTU ID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_2	Arable9_3	Arable9_4	Arable9_6	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_2	Restore9_3	Restore9_4	Restore9_6
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__Ktedonobacterales;D_4__Ktedonobacteraceae;D_5__JG30a-KF-32;D_6__uncultured Ktedobacteria bacterium	0.09993114746314015	0.1182483214750977	0.1427992277992278	0.10389893269440209	0.07407730564523166	0.07105492589363557	0.0709532149111834	0.07345878277301	0.001920898389400581	0.0017388017388017389	0.002109223577699236	0.0023530400436993153	0.07212454988349926	0.07885020443563374	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__B12-WMSP1;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.009734324176737339	0.008117045796171962	0.008088803088803088	0.0057358600159732815	0.04868685106011692	0.044827085149665796	0.054040530397798346	0.07479726005826313	0.0	0.0	0.0	0.0	0.075990256301631	0.04698302564737951	0.0	0.00011530035743110804
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__Ktedonobacterales;D_4__Ktedonobacteraceae;D_5__1921-3;D_6__uncultured Ktedobacteria bacterium	0.040314347444146345	0.030463974346126868	0.04555984555984556	0.045850577216292744	0.012302591396911264	0.00966288869514676	0.010958218663997998	0.01306983702070703	0.0	0.0	0.0	0.0	0.013132810845159923	0.010333292033205302	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Acidothermaceae;D_5__Acidothermus;__	0.03722785441249792	0.033670708487824434	0.029594594594594594	0.028679300079866406	0.0909170229473868	0.07258064516129033	0.045934450838128596	0.04684670498385954	0.0037432891690883123	0.0018522018522018522	0.006213658647816669	0.004285894365309467	0.07667866977335311	0.060339487052409865	0.00839078964485495	0.013317191283292978
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__uncultured;D_5__uncultured bacterium;D_6__uncultured bacterium	0.013034497495192194	0.001970805357918295	0.009517374517374517	0.015646554853699268	0.020591571416106798	0.02956989247311828	0.018463847885914438	0.02196677426974254	0.028370191597300892	0.016254016254016256	0.024455592292783036	0.017941930333207276	0.017104427028171998	0.015735348779581215	0.029595420840379864	0.015565548253199585
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__uncultured;__;__	0.0036088226216196965	0.013929251427998798	0.002972972972972973	0.003957017352791694	0.02364540616002094	0.023612321999418772	0.0240180135101326	0.015668057633257224	0.004137319607939714	0.008920808920808921	0.02183331433131912	0.019118450355056934	0.021976276212666807	0.025845620121422375	0.021074541433589177	0.015277297359621815
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;__;__;__	0.02362354281915525	0.016401108995557336	0.040598455598455596	0.033144558193567125	0.040048861355902625	0.0	0.06229672254190643	0.020943232816313676	0.0017238831699748806	0.0002646002646002646	0.0008550906396077984	0.0020168914660279843	0.00540139800889642	0.0233923925164168	0.003057109405489788	0.002767208578346593
D_0__Bacteria;D_1__WPS-2;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.06370046772240556	0.05681932057320373	0.10544401544401544	0.08847019530966384	0.00933600907425181	0.015983725661145014	0.015111333500125093	0.023698921344776	0.0	0.0	0.0	0.0	0.005560262656216904	0.007434023045471441	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__Ktedonobacterales;D_4__Ktedonobacteraceae;D_5__JG30a-KF-32;D_6__uncultured bacterium	0.027849664047104632	0.02445134783044393	0.03258687258687259	0.031510927176359546	0.0051478928540266995	0.01060738157512351	0.009707280460345259	0.006377450594441382	0.003497020144806186	0.008807408807408807	0.013738456276365295	0.008781881591663515	0.00540139800889642	0.009689010035931112	0.0	0.0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas;__	0.01315320876564021	0.015432408056919531	0.009961389961389962	0.015573949030712263	0.018148503620975483	0.017582098227259518	0.017162872154115588	0.02574600425163373	0.008619415849874404	0.015309015309015309	0.009577015163607342	0.012143367368376822	0.014191908493963143	0.02805104695824557	0.037400806556524	0.048887351550789805
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae;D_5__Conexibacter;D_6__uncultured Conexibacteraceae bacterium	0.019943493435266746	0.016835354243912217	0.014131274131274131	0.0245407681696072	0.045545763894948084	0.07120023249055507	0.06284713535151364	0.0645618455239745	0.0	0.0	0.0	0.0	0.06142766363058674	0.05491265022921571	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales;D_4__Pseudonocardiaceae;D_5__Crossiella;Ambiguous_taxa	0.0043923170065766045	0.0037077863513378093	0.0	0.0	0.013262368030712852	0.016201685556524265	0.020315236427320492	0.01928981969923628	0.0	0.0	0.0	0.0	0.00804914213090447	0.015512328088217073	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__B12-WMSP1;__;__;__	0.002659132458035566	0.0036743828706951266	0.003861003861003861	0.0035576853263631744	0.015181921298316029	0.016782911944202266	0.012409306980235176	0.02196677426974254	0.0	0.0	0.0	0.0	0.021764456682906164	0.015983149547763597	0.0	0.0
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria;D_3__Ktedonobacterales;D_4__Ktedonobacteraceae;D_5__FCPS473;D_6__uncultured bacterium	0.04962131104727083	0.04375855964191469	0.06320463320463321	0.051368619763305014	0.05723758834307652	0.06764022086602732	0.0752064048036027	0.048106448311156604	0.0016746293651184554	0.0035154035154035153	0.00507353779500627	0.007605361569813858	0.05819741580173692	0.07951926650972618	0.0013008976193573565	0.0008647526807333103
