ID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
BACasv1	0.099931147	0.118248321	0.142799228	0.103898933	0.074077306	0.071054926	0.070953215	0.073458783
BACasv2	0.009734324	0.008117046	0.008088803	0.00573586	0.048686851	0.044827085	0.05404053	0.07479726
BACasv3	0.040314347	0.030463974	0.045559846	0.045850577	0.012302591	0.009662889	0.010958219	0.013069837
BACasv4	0.037227854	0.033670708	0.029594595	0.0286793	0.090917023	0.072580645	0.045934451	0.046846705
BACasv5	0.013034497	0.001970805	0.009517375	0.015646555	0.020591571	0.029569892	0.018463848	0.021966774
BACasv6	0.003608823	0.013929251	0.002972973	0.003957017	0.023645406	0.023612322	0.024018014	0.015668058
BACasv8	0.063700468	0.056819321	0.105444015	0.088470195	0.009336009	0.015983726	0.015111334	0.023698921
BACasv9	0.027849664	0.024451348	0.032586873	0.031510927	0.005147893	0.010607382	0.00970728	0.006377451
BACasv10	0.013153209	0.015432408	0.00996139	0.015573949	0.018148504	0.017582098	0.017162872	0.025746004
BACasv11	0.019943493	0.016835354	0.014131274	0.024540768	0.045545764	0.071200232	0.062847135	0.064561846
BACasv13	0.002659132	0.003674383	0.003861004	0.003557685	0.015181921	0.016782912	0.012409307	0.021966774
BACasv16	0.004985873	0.004041821	0.002876448	0.006244101	0	0.001162453	0	0
BACasv17	0.027184881	0.020643351	0.028339768	0.026864155	0.013524125	0.013586167	0.012359269	0.010314148
BACasv18	0.010565303	0.008117046	0.014324324	0.010310027	0.013436873	0.003414705	0.005203903	0.005826313
BACasv19	0.003347658	0.002939506	0	0.004973499	0.017275979	0.015329846	0.01861396	0.023383986
BACasv20	0.012702106	0.009586799	0.015212355	0.00972918	0.031323619	0.011987794	0.018914186	0.014487048
BACasv21	0.010517819	0.013060761	0.00488417	0.00773252	0.01657796	0.018235978	0.020365274	0.032517125
BACasv22	0.002587906	0.001970805	0.001312741	0.001524722	0.008027223	0.013731473	0.01255942	0.011495158
BACasv25	0.00220803	0.003139927	0.002335907	0.005118711	0.023121892	0.015547806	0.021115837	0.022754114
BACasv26	0.007550037	0.007014731	0.008996139	0.010455239	0.00828898	0.036326649	0.010958219	0.009999213
BACasv27	0.011562478	0.015733039	0.007471042	0.013540986	0.019893552	0.039087475	0.028321241	0.038737107
BACasv28	0.010446592	0.008451081	0.008996139	0.010709359	0.001221534	0.002760825	0.001551163	0.002755689
BACasv29	0.001614473	0.003273541	0.001332046	0.001524722	0.006892941	0.009009009	0.009206905	0.006377451
BACasv30	0.001994349	0.001269332	0	0.000471938	0.006107669	0.007628596	0.010708031	0.002047083
BACasv31	0.003656307	0.004876908	0.006930502	0.00486459	0.012128087	0.017945365	0.014660996	0.019919691
BACasv32	0.020798215	0.016000267	0.009401544	0.013649895	0.002094058	0.001089799	0.001601201	0.001338477
