id	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4
ProASV23	0	0.000588235	0	0	0	0	0	0
ProASV30	0	0.002352941	0	0	0	0	0	0
ProASV41	0.052941176	0.008823529	0.013529412	0.033529412	0	0.002941176	0.011764706	0.016470588
ProASV45	0	0.02	0	0.008823529	0	0.001176471	0.003529412	0.021764706
ProASV46	0	0.006470588	0	0	0	0	0	0
ProASV48	0	0.035882353	0	0.002352941	0	0	0.002352941	0.005294118
ProASV95	0	0.009411765	0.002941176	0.000588235	0	0.001176471	0.003529412	0.002941176
ProASV97	0	0.041176471	0.020588235	0.000588235	0	0.002352941	0.034117647	0.025882353
ProASV237	0	0.001764706	0	0	0	0	0	0
ProASV245	0	0.011176471	0	0	0	0	0	0
ProASV248	0.066470588	0.030588235	0.014705882	0.055882353	0	0.009411765	0.032352941	0.048235294
